2011, KC, AL, 128, 563, 523, 66, 153, 27, 3, 19, 78, 34, 82, 11, 5, 1, .293, .334, .465, .799, 
2012, KC, AL, 152, 598, 535, 65, 124, 22, 2, 14, 60, 56, 95, 16, 1, 2, .232, .304, .359, .663, 
2013, KC, AL, 159, 680, 623, 86, 188, 34, 3, 17, 79, 51, 100, 11, 4, 1, .302, .353, .448, .801, 
2014, KC, AL, 131, 547, 503, 54, 136, 35, 1, 9, 58, 35, 93, 4, 2, 3, .270, .318, .398, .716, 
2015, KC, AL, 158, 667, 599, 98, 178, 33, 5, 18, 93, 61, 108, 7, 3, 3, .297, .363, .459, .822, 
2016, KC, AL, 158, 667, 605, 80, 161, 24, 1, 25, 104, 57, 132, 5, 3, 1, .266, .328, .433, .761, 
2017, KC, AL, 162, 671, 603, 98, 192, 31, 1, 25, 94, 66, 104, 6, 1, 0, .318, .385, .498, .882, 
2018, SD, NL, 157, 677, 613, 72, 155, 31, 2, 18, 69, 62, 142, 7, 4, 1, .253, .322, .398, .720, 
2019, SD, NL, 160, 667, 619, 72, 164, 29, 2, 22, 99, 40, 163, 0, 3, 3, .265, .310, .425, .735, 
2020, SD, NL, 26, 109, 99, 20, 31, 6, 0, 8, 29, 8, 15, 2, 0, 2, .313, .376, .616, .992, 
10 Seasons, 1391, 5846, 5322, 711, 1482, 272, 20, 175, 763, 470, 1034, 69, 26, 17, .278, .337, .436, .773, 
2011, KC, AL, 563, 243, 224, 0, 5, .314, 49, 13, 93, 2080, 3.694, .146, .034, .415, .172, .172, 3, 
2012, KC, AL, 598, 192, 204, 0, 5, .255, 38, 10, 78, 2234, 3.736, .159, .023, .589, .127, .127, 1, 
2013, KC, AL, 680, 279, 236, 1, 4, .335, 54, 15, 101, 2566, 3.774, .147, .025, .510, .146, .146, 1, 
2014, KC, AL, 547, 200, 195, 0, 6, .312, 45, 12, 87, 2112, 3.861, .170, .016, .376, .127, .127, 0, 
2015, KC, AL, 667, 275, 282, 1, 3, .336, 56, 16, 108, 2557, 3.834, .162, .027, .565, .162, .162, 1, 
2016, KC, AL, 667, 262, 249, 0, 4, .301, 50, 18, 98, 2563, 3.843, .198, .037, .432, .167, .167, 1, 
2017, KC, AL, 671, 300, 260, 0, 2, .351, 57, 20, 108, 2573, 3.835, .155, .037, .635, .179, .179, 1, 
2018, SD, NL, 677, 244, 245, 0, 1, .302, 51, 18, 95, 2571, 3.798, .210, .027, .437, .145, .145, 1, 
2019, SD, NL, 667, 263, 231, 0, 5, .323, 53, 12, 85, 2558, 3.835, .244, .033, .245, .160, .160, 0, 
2020, SD, NL, 109, 61, 49, 0, 0, .303, 14, 2, 17, 416, 3.817, .138, .073, .533, .303, .303, 0, 
5846, 2319, 2175, 2, 35, .315, 467, 136, 870, 22230, 3.803, .177, .030, .455, .157, .157, 9, 
