2012, SD, NL, 60, 226, 192, 28, 57, 7, 1, 8, 36, 31, 39, 0, 0, 1, .297, .394, .469, .863, 
2013, SD, NL, 28, 108, 88, 13, 19, 8, 0, 1, 9, 18, 18, 0, 0, 1, .216, .352, .341, .693, 
2014, SD, NL, 128, 443, 377, 47, 85, 19, 1, 15, 49, 58, 115, 3, 0, 2, .225, .327, .401, .728, 
2015, LAD, NL, 115, 426, 355, 43, 83, 12, 0, 16, 47, 65, 92, 0, 1, 2, .234, .353, .403, .756, 
2016, LAD, NL, 126, 457, 390, 49, 89, 14, 1, 27, 72, 64, 116, 1, 3, 2, .228, .339, .477, .816, 
2017, LAD, NL, 129, 482, 438, 50, 108, 27, 0, 22, 58, 40, 130, 0, 1, 0, .247, .308, .459, .767, 
2018, LAD, NL, 140, 518, 440, 65, 106, 23, 2, 24, 68, 72, 124, 2, 1, 3, .241, .349, .466, .815, 
2019, MIL, NL, 153, 632, 513, 79, 126, 26, 2, 28, 77, 109, 139, 5, 1, 5, .246, .380, .468, .848, 
2020, CWS, AL, 28, 119, 98, 13, 22, 4, 0, 4, 14, 19, 36, 0, 0, 0, .224, .345, .388, .732, 
9 Seasons, 907, 3411, 2891, 387, 695, 140, 7, 145, 430, 476, 809, 11, 7, 16, .240, .348, .444, .792, 
2012, SD, NL, 226, 90, 75, 0, 2, .333, 16, 8, 39, 902, 3.991, .173, .035, .795, .172, .172, 0, 
2013, SD, NL, 108, 30, 33, 0, 1, .257, 9, 1, 15, 401, 3.713, .167, .009, 1.000, .125, .125, 0, 
2014, SD, NL, 443, 151, 185, 0, 6, .277, 35, 7, 50, 1889, 4.264, .260, .034, .504, .175, .175, 1, 
2015, LAD, NL, 426, 143, 150, 1, 3, .268, 28, 16, 56, 1763, 4.138, .216, .038, .707, .169, .169, 1, 
2016, LAD, NL, 457, 186, 163, 0, 1, .250, 42, 11, 49, 1971, 4.313, .254, .059, .552, .249, .249, 1, 
2017, LAD, NL, 482, 201, 210, 1, 3, .298, 49, 10, 53, 1916, 3.975, .270, .046, .308, .212, .212, 0, 
2018, LAD, NL, 518, 205, 187, 0, 3, .278, 49, 12, 63, 2222, 4.290, .239, .046, .581, .225, .225, 1, 
2019, MIL, NL, 632, 240, 213, 0, 5, .279, 56, 16, 83, 2733, 4.324, .220, .044, .784, .222, .222, 0, 
2020, CWS, AL, 119, 38, 36, 0, 2, .300, 8, 3, 12, 531, 4.462, .303, .034, .528, .163, .163, 1, 
3411, 1284, 1252, 2, 26, .280, 292, 84, 420, 14328, 4.201, .237, .043, .588, .204, .204, 5, 
