2012, PHI, NL, 58, 200, 190, 14, 43, 15, 1, 3, 24, 7, 29, 0, 0, 0, .226, .254, .363, .617, 200, 69, 86, 3, 0, .253, 19, 6, 32, 694, 3.470, .145, .015, .241, .137, .137, 0, 
2013, PHI, NL, 70, 222, 205, 13, 48, 5, 4, 6, 19, 13, 45, 1, 0, 1, .234, .283, .385, .668, 222, 79, 74, 3, 0, .273, 15, 5, 29, 844, 3.802, .203, .027, .289, .151, .151, 2, 
2014, PHI, NL, 43, 128, 119, 14, 21, 3, 1, 4, 12, 8, 30, 1, 0, 0, .176, .227, .319, .546, 128, 38, 62, 0, 1, .198, 8, 0, 15, 514, 4.016, .234, .031, .267, .143, .143, 0, 
2015, PHI, NL, 151, 603, 559, 63, 147, 14, 5, 7, 50, 30, 103, 10, 1, 3, .263, .302, .343, .645, 603, 192, 206, 7, 4, .309, 26, 11, 101, 2288, 3.794, .171, .012, .291, .081, .081, 1, 
2016, PHI, NL, 158, 624, 584, 61, 141, 26, 3, 20, 67, 25, 136, 17, 6, 3, .241, .274, .399, .673, 624, 233, 241, 8, 4, .280, 49, 16, 113, 2365, 3.790, .218, .032, .184, .158, .158, 1, 
2017, PHI, NL, 162, 663, 608, 71, 155, 29, 6, 12, 61, 45, 111, 14, 5, 4, .255, .309, .382, .690, 663, 232, 241, 2, 4, .292, 47, 12, 116, 2641, 3.983, .167, .018, .405, .127, .127, 2, 
2018, SD, NL, 162, 656, 602, 62, 149, 31, 5, 13, 67, 45, 147, 8, 6, 2, .248, .299, .380, .680, 656, 229, 228, 1, 6, .304, 49, 8, 103, 2573, 3.922, .224, .020, .306, .133, .133, 1, 
2019, 2 Teams, 147, 589, 557, 67, 145, 28, 1, 23, 70, 28, 145, 4, 2, 1, .260, .296, .438, .734, 244, 213, 1, 2, .312, 2288, 
2019, CIN, NL, 32, 116, 107, 12, 25, 4, 0, 5, 16, 7, 33, 0, 1, 1, .234, .284, .411, .696, 116, 44, 41, 0, 1, .286, 9, 3, 18, 478, 4.121, .284, .043, .212, .178, .178, 0, 
2019, TOR, AL, 115, 473, 450, 55, 120, 24, 1, 18, 54, 21, 112, 4, 1, 0, .267, .299, .444, .743, 473, 200, 172, 1, 1, .318, 43, 11, 68, 1810, 3.827, .237, .038, .188, .178, .178, 0, 
2020, CIN, NL, 31, 109, 98, 14, 20, 3, 0, 6, 11, 8, 19, 0, 1, 3, .204, .284, .418, .703, 109, 41, 37, 0, 0, .192, 9, 5, 15, 405, 3.716, .174, .055, .421, .214, .214, 0, 
9 Seasons, 982, 3794, 3522, 379, 869, 154, 26, 94, 381, 209, 765, 55, 21, 17, .247, .291, .385, .676, 3794, 1357, 1388, 25, 21, .289, 274, 77, 610, 14612, 3.851, .202, .025, .273, .139, .139, 7, 
