2012, ARI, NL, 22, 103, 85, 19, 22, 3, 2, 2, 5, 14, 15, 2, 3, 3, .259, .382, .412, .794, 
2013, ARI, NL, 66, 277, 250, 40, 63, 10, 4, 3, 22, 17, 44, 5, 2, 6, .252, .314, .360, .674, 
2014, CWS, AL, 123, 538, 486, 76, 146, 26, 10, 1, 35, 43, 83, 15, 9, 5, .300, .362, .401, .763, 
2015, CWS, AL, 153, 689, 610, 98, 175, 28, 9, 14, 56, 58, 131, 18, 8, 14, .287, .361, .431, .792, 
2016, CWS, AL, 157, 706, 619, 91, 176, 29, 9, 14, 59, 63, 115, 14, 5, 14, .284, .362, .428, .790, 
2017, WSH, NL, 23, 107, 91, 24, 27, 7, 1, 2, 13, 14, 18, 3, 1, 1, .297, .393, .462, .854, 
2018, WSH, NL, 95, 370, 319, 55, 96, 18, 1, 5, 33, 38, 64, 9, 1, 11, .301, .394, .411, .805, 
2019, WSH, NL, 151, 656, 566, 103, 158, 25, 7, 15, 49, 65, 106, 15, 3, 13, .279, .365, .428, .792, 
2020, WSH, NL, 31, 136, 125, 16, 28, 8, 1, 3, 15, 9, 26, 1, 0, 1, .224, .281, .376, .658, 
9 Seasons, 821, 3582, 3151, 522, 891, 154, 44, 59, 287, 321, 602, 82, 32, 68, .283, .360, .416, .776, 
2012, ARI, NL, 103, 35, 32, 1, 0, .294, 7, 0, 10, 408, 3.961, .146, .019, .933, .153, .153, 0, 
2013, ARI, NL, 277, 90, 79, 3, 1, .294, 17, 4, 33, 1091, 3.939, .159, .011, .386, .108, .108, 1, 
2014, CWS, AL, 538, 195, 129, 2, 2, .359, 37, 4, 54, 2095, 3.894, .154, .002, .518, .101, .101, 0, 
2015, CWS, AL, 689, 263, 183, 5, 2, .345, 51, 5, 71, 2785, 4.042, .190, .020, .443, .144, .144, 1, 
2016, CWS, AL, 706, 265, 192, 7, 3, .329, 52, 6, 78, 2670, 3.782, .163, .020, .548, .144, .144, 2, 
2017, WSH, NL, 107, 42, 17, 0, 1, .347, 10, 0, 9, 443, 4.140, .168, .019, .778, .165, .165, 0, 
2018, WSH, NL, 370, 131, 89, 2, 0, .364, 24, 2, 31, 1476, 3.989, .173, .014, .594, .110, .110, 0, 
2019, WSH, NL, 656, 242, 194, 9, 3, .319, 47, 8, 88, 2664, 4.061, .162, .023, .613, .148, .148, 0, 
2020, WSH, NL, 136, 47, 47, 1, 0, .260, 12, 4, 18, 543, 3.993, .191, .022, .346, .152, .152, 0, 
3582, 1310, 962, 30, 12, .333, 257, 33, 392, 14175, 3.957, .168, .016, .533, .133, .133, 4, 
