2012, 2 Teams, 45, 166, 151, 19, 39, 4, 3, 0, 14, 13, 23, 7, 1, 0, .258, .315, .325, .640, 
2012, LAA, AL, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, .000, .000, .000, .000, 
2012, MIL, NL, 44, 163, 148, 19, 39, 4, 3, 0, 14, 13, 21, 7, 1, 0, .264, .321, .331, .652, 
2013, MIL, NL, 146, 623, 588, 74, 173, 20, 10, 12, 49, 25, 84, 44, 13, 6, .294, .329, .423, .752, 
2014, MIL, NL, 146, 557, 513, 61, 126, 14, 6, 5, 31, 28, 70, 20, 9, 4, .246, .289, .326, .614, 
2015, MIL, NL, 142, 584, 560, 57, 144, 16, 5, 6, 50, 13, 93, 25, 6, 6, .257, .281, .336, .616, 
2016, ARI, NL, 153, 694, 637, 102, 203, 41, 7, 20, 64, 39, 101, 33, 10, 12, .319, .368, .499, .867, 
2017, SEA, AL, 125, 566, 524, 80, 157, 30, 2, 11, 45, 34, 83, 22, 8, 6, .300, .349, .427, .776, 
2018, SEA, AL, 144, 632, 586, 91, 178, 29, 3, 10, 63, 32, 69, 20, 11, 4, .304, .341, .415, .755, 
2019, PHI, NL, 144, 618, 576, 79, 161, 37, 4, 12, 60, 30, 73, 10, 2, 8, .280, .323, .420, .743, 
2020, PHI, NL, 28, 115, 100, 16, 24, 1, 1, 4, 12, 14, 19, 1, 1, 0, .240, .333, .390, .723, 
9 Seasons, 1073, 4555, 4235, 579, 1205, 192, 41, 80, 388, 228, 615, 182, 61, 46, .285, .327, .406, .733, 
2012, 2 Teams, 166, 49, 59, 1, 1, .302, 7, 1, 22, 572, 3.446, .139, .000, .565, .066, .066, 0, 
2012, LAA, AL, 3, 0, 1, 0, 0, .000, 0, 0, 0, 9, 3.000, .667, .000, .---, .000, .000, 0, 
2012, MIL, NL, 163, 49, 58, 1, 1, .305, 7, 1, 22, 563, 3.454, .129, .000, .619, .068, .068, 0, 
2013, MIL, NL, 623, 249, 219, 2, 2, .326, 42, 17, 119, 2266, 3.637, .135, .019, .298, .129, .129, 0, 
2014, MIL, NL, 557, 167, 183, 10, 2, .275, 25, 13, 72, 1944, 3.490, .126, .009, .400, .080, .080, 0, 
2015, MIL, NL, 584, 188, 190, 3, 2, .298, 27, 14, 68, 2057, 3.522, .159, .010, .140, .079, .079, 0, 
2016, ARI, NL, 694, 318, 174, 4, 2, .353, 68, 6, 55, 2699, 3.889, .146, .029, .386, .181, .181, 0, 
2017, SEA, AL, 566, 224, 175, 0, 1, .339, 43, 14, 58, 2186, 3.862, .147, .019, .410, .128, .128, 2, 
2018, SEA, AL, 632, 243, 220, 4, 6, .327, 42, 17, 90, 2209, 3.495, .109, .016, .464, .111, .111, 1, 
2019, PHI, NL, 618, 242, 205, 1, 3, .302, 53, 11, 83, 2232, 3.612, .118, .019, .411, .141, .141, 1, 
2020, PHI, NL, 115, 39, 44, 1, 0, .260, 6, 2, 13, 459, 3.991, .165, .035, .737, .150, .150, 0, 
4555, 1719, 1469, 26, 19, .316, 313, 95, 580, 16624, 3.650, .135, .018, .371, .121, .121, 4, 
